Data,Produção industrial - produtos do fumo - quantum - índice (média 2022 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Pesquisa Industrial Mensal - Produção Física (IBGE/PIM-PF) - PIMPFN12_QIIGNN312,
2002.01,76.39757,
2002.02,109.88529,
2002.03,206.75265,
2002.04,236.35534,
2002.05,220.23175,
2002.06,187.03269,
2002.07,145.15693,
2002.08,74.67845,
2002.09,64.05228,
2002.10,62.05218,
2002.11,65.85889,
2002.12,59.09579,
2003.01,68.32045,
2003.02,119.64925,
2003.03,229.93473,
2003.04,218.07717,
2003.05,212.75986,
2003.06,154.51522,
2003.07,81.65162,
2003.08,61.29818,
2003.09,56.98015,
2003.10,64.58815,
2003.11,61.84448,
2003.12,57.13821,
2004.01,64.38658,
2004.02,85.14859,
2004.03,221.20159,
2004.04,242.24012,
2004.05,251.14819,
2004.06,225.48545,
2004.07,229.33762,
2004.08,115.76466,
2004.09,59.82071,
2004.10,57.43514,
2004.11,56.482,
2004.12,55.78396,
2005.01,61.56038,
2005.02,72.5608,
2005.03,170.49287,
2005.04,234.12166,
2005.05,266.38561,
2005.06,242.48692,
2005.07,189.53753,
2005.08,150.4234,
2005.09,65.71201,
2005.10,64.04649,
2005.11,60.85474,
2005.12,58.62061,
2006.01,69.92981,
2006.02,110.60097,
2006.03,195.87783,
2006.04,214.41124,
2006.05,268.12849,
2006.06,245.6355,
2006.07,219.06585,
2006.08,160.02151,
2006.09,65.72212,
2006.10,66.31054,
2006.11,64.21562,
2006.12,58.33033,
2007.01,68.66577,
2007.02,107.21788,
2007.03,219.18667,
2007.04,233.70143,
2007.05,265.32378,
2007.06,219.85136,
2007.07,174.02872,
2007.08,117.09609,
2007.09,59.13975,
2007.10,66.90183,
2007.11,65.21095,
2007.12,59.57169,
2008.01,70.87859,
2008.02,104.63473,
2008.03,184.77049,
2008.04,225.58958,
2008.05,209.67416,
2008.06,199.89951,
2008.07,200.52418,
2008.08,94.61758,
2008.09,63.63214,
2008.10,67.24734,
2008.11,67.39336,
2008.12,57.3404,
2009.01,67.45073,
2009.02,98.06525,
2009.03,177.18056,
2009.04,228.31653,
2009.05,215.56106,
2009.06,203.30089,
2009.07,188.64697,
2009.08,108.39762,
2009.09,55.82042,
2009.10,58.24969,
2009.11,56.38021,
2009.12,52.25281,
2010.01,56.92593,
2010.02,90.86503,
2010.03,169.90024,
2010.04,183.53866,
2010.05,195.67016,
2010.06,181.92463,
2010.07,177.0872,
2010.08,96.94083,
2010.09,58.61661,
2010.10,59.45167,
2010.11,60.95601,
2010.12,56.12098,
2011.01,60.19987,
2011.02,73.01967,
2011.03,142.72935,
2011.04,209.07796,
