Data,Produção industrial - produtos do fumo - quantum - índice dessazonalizado (média 2022 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Pesquisa Industrial Mensal - Produção Física (IBGE/PIM-PF) - PIMPFN12_QIIGNNAS312,
2002.01,139.21553,
2002.02,131.01848,
2002.03,126.14423,
2002.04,133.42224,
2002.05,126.96598,
2002.06,124.18147,
2002.07,119.43346,
2002.08,97.85954,
2002.09,123.8514,
2002.10,124.02296,
2002.11,129.28847,
2002.12,128.30864,
2003.01,129.81264,
2003.02,144.06793,
2003.03,142.1895,
2003.04,125.00779,
2003.05,121.31515,
2003.06,99.50085,
2003.07,65.98746,
2003.08,78.12617,
2003.09,111.08298,
2003.10,130.67845,
2003.11,124.45886,
2003.12,125.88556,
2004.01,126.94571,
2004.02,105.46052,
2004.03,143.09802,
2004.04,140.52568,
2004.05,140.09079,
2004.06,140.07688,
2004.07,177.39023,
2004.08,140.47973,
2004.09,121.4243,
2004.10,119.58878,
2004.11,118.5024,
2004.12,125.56198,
2005.01,123.63753,
2005.02,92.09176,
2005.03,115.84159,
2005.04,137.42372,
2005.05,144.43985,
2005.06,146.95667,
2005.07,140.86304,
2005.08,176.88212,
2005.09,139.064,
2005.10,135.22917,
2005.11,131.39528,
2005.12,134.42482,
2006.01,139.50274,
2006.02,142.09199,
2006.03,136.70941,
2006.04,126.27719,
2006.05,145.42372,
2006.06,149.24781,
2006.07,156.38885,
2006.08,183.34309,
2006.09,143.49705,
2006.10,139.64022,
2006.11,138.07253,
2006.12,135.14408,
2007.01,135.51107,
2007.02,138.26348,
2007.03,153.14678,
2007.04,137.12624,
2007.05,146.74902,
2007.06,135.74956,
2007.07,121.7865,
2007.08,132.82539,
2007.09,129.03348,
2007.10,137.12743,
2007.11,135.99814,
2007.12,136.45464,
2008.01,138.24824,
2008.02,134.85583,
2008.03,129.46056,
2008.04,132.39593,
2008.05,121.22188,
2008.06,125.9653,
2008.07,135.73128,
2008.08,105.12375,
2008.09,135.21926,
2008.10,133.90291,
2008.11,134.95622,
2008.12,127.64874,
2009.01,131.00853,
2009.02,128.96929,
2009.03,127.78455,
2009.04,135.49333,
2009.05,127.28217,
2009.06,128.88221,
2009.07,125.66637,
2009.08,116.64834,
2009.09,113.71569,
2009.10,111.32729,
2009.11,109.63739,
2009.12,111.24428,
2010.01,109.35457,
2010.02,121.02285,
2010.03,127.39385,
2010.04,112.30866,
2010.05,117.75834,
2010.06,117.23665,
2010.07,117.47371,
2010.08,98.25559,
2010.09,110.02523,
2010.10,107.18068,
2010.11,114.21663,
2010.12,113.69624,
2011.01,113.48701,
2011.02,101.09337,
2011.03,112.81901,
2011.04,130.11449,
2011.05,143.72545,
2011.06,145.56405,
2011.07,139.96031,
2011.08,166.154,
2011.09,122.14968,
2011.10,102.81921,
2011.11,110.45505,
2011.12,110.55889,
2012.01,144.97546,
2012.02,116.17466,
2012.03,105.0592,
2012.04,101.11016,
2012.05,99.14665,
2012.06,100.53735,
2012.07,105.56994,
2012.08,133.15821,
2012.09,129.62192,
2012.10,126.0877,
2012.11,127.62078,
2012.12,129.41066,
2013.01,61.96429,
2013.02,73.99536,
2013.03,94.41454,
2013.04,107.44194,
2013.05,101.33754,
2013.06,106.27617,
2013.07,109.62092,
2013.08,102.52498,
2013.09,107.7885,
2013.10,120.15674,
2013.11,129.1657,
2013.12,123.75329,
2014.01,71.48351,
2014.02,81.37899,
2014.03,83.56544,
2014.04,87.87282,
2014.05,103.03038,
2014.06,102.77024,
2014.07,106.53435,
2014.08,135.5721,
2014.09,119.03135,
2014.10,112.22599,
2014.11,113.93994,
2014.12,109.44999,
2015.01,65.53471,
2015.02,47.03611,
2015.03,76.69158,
2015.04,86.53273,
2015.05,92.08221,
2015.06,93.83275,
2015.07,108.18701,
2015.08,105.34795,
2015.09,111.13572,
2015.10,126.43369,
2015.11,98.26405,
2015.12,91.75123,
2016.01,78.34123,
2016.02,83.98208,
2016.03,89.38532,
2016.04,80.35969,
2016.05,69.2619,
2016.06,71.65185,
2016.07,64.66398,
2016.08,59.12783,
2016.09,60.12342,
2016.10,70.77038,
2016.11,87.25238,
2016.12,74.57922,
2017.01,79.70844,
2017.02,88.58154,
2017.03,84.99299,
2017.04,86.28018,
2017.05,97.75041,
2017.06,91.83971,
2017.07,84.12822,
2017.08,90.98474,
2017.09,87.62711,
2017.10,79.83228,
2017.11,80.51938,
2017.12,89.66907,
2018.01,87.14661,
2018.02,85.37756,
2018.03,80.7525,
2018.04,82.61298,
2018.05,78.20974,
2018.06,87.07733,
2018.07,86.50098,
2018.08,90.90193,
2018.09,90.62667,
2018.10,84.97068,
2018.11,86.50076,
2018.12,68.52514,
2019.01,83.05428,
2019.02,72.0284,
2019.03,87.52119,
2019.04,86.99978,
2019.05,86.21222,
2019.06,82.40703,
2019.07,86.99342,
2019.08,85.47006,
2019.09,79.71904,
2019.10,86.85163,
2019.11,87.93205,
2019.12,72.46148,
2020.01,89.82671,
2020.02,92.03107,
2020.03,72.40303,
2020.04,70.44134,
2020.05,86.13855,
2020.06,89.70719,
2020.07,102.08818,
2020.08,104.93908,
2020.09,129.51694,
2020.10,103.07168,
2020.11,98.65906,
2020.12,107.07423,
2021.01,95.18387,
2021.02,98.06958,
2021.03,95.36556,
2021.04,95.29888,
2021.05,96.22416,
2021.06,94.24196,
2021.07,86.49531,
2021.08,82.19659,
2021.09,82.38636,
2021.10,90.1753,
