Data,Pessoas ocupadas - informação- comunicação e atividades financeiras- imobiliárias- profissionais e administrativas - mensalizada - Pessoa - Instituto de Pesquisa Econômica Aplicada - PNADC12_OCUPINFOM12,
2012.01,9351,
2012.02,9631,
2012.03,9521,
2012.04,9534,
2012.05,9325,
2012.06,9380,
2012.07,9450,
2012.08,9799,
2012.09,9980,
2012.10,9651,
2012.11,9568,
2012.12,9755,
2013.01,9780,
2013.02,9703,
2013.03,9767,
2013.04,9957,
2013.05,9655,
2013.06,10073,
2013.07,10005,
2013.08,9733,
2013.09,9857,
2013.10,9846,
2013.11,10024,
2013.12,9563,
2014.01,9762,
2014.02,10027,
2014.03,9875,
2014.04,9837,
2014.05,10561,
2014.06,10538,
2014.07,10704,
2014.08,10582,
2014.09,11000,
2014.10,10419,
2014.11,10555,
2014.12,10841,
2015.01,10272,
2015.02,10474,
2015.03,10490,
2015.04,10770,
2015.05,10936,
2015.06,10826,
2015.07,10695,
2015.08,10528,
2015.09,10697,
2015.10,9537,
2015.11,9694,
2015.12,9680,
2016.01,9681,
2016.02,9790,
2016.03,9716,
2016.04,9723,
2016.05,9868,
2016.06,9623,
2016.07,9702,
2016.08,9733,
2016.09,9479,
2016.10,9747,
2016.11,9823,
2016.12,9797,
2017.01,9951,
2017.02,9946,
2017.03,10106,
2017.04,9642,
2017.05,9916,
2017.06,10109,
2017.07,9582,
2017.08,10291,
2017.09,10481,
2017.10,9813,
2017.11,10369,
2017.12,10508,
2018.01,9894,
2018.02,10474,
2018.03,10196,
2018.04,9882,
2018.05,10165,
2018.06,10004,
2018.07,10203,
2018.08,10255,
2018.09,10388,
2018.10,10458,
2018.11,10549,
2018.12,10535,
2019.01,10533,
2019.02,10654,
2019.03,10721,
2019.04,10692,
2019.05,10675,
2019.06,10676,
2019.07,10761,
2019.08,10810,
2019.09,10694,
2019.10,10707,
2019.11,10888,
2019.12,10652,
2020.01,10779,
2020.02,10846,
2020.03,10787,
2020.04,10059,
2020.05,10339,
2020.06,10142,
2020.07,9879,
2020.08,10090,
2020.09,10100,
2020.10,10653,
2020.11,10612,
2020.12,10742,
2021.01,10656,
2021.02,10663,
2021.03,11390,
2021.04,11082,
2021.05,11017,
2021.06,11231,
2021.07,11391,
2021.08,10708,
2021.09,11111,
2021.10,11607,
2021.11,11251,
2021.12,11453,
2022.01,11436,
2022.02,11011,
2022.03,11579,
2022.04,11883,
2022.05,11374,
2022.06,11777,
2022.07,11766,
2022.08,11653,
2022.09,12056,
2022.10,12180,
2022.11,11881,
2022.12,11741,
2023.01,12153,
2023.02,11770,
2023.03,12122,
2023.04,11961,
2023.05,12073,
2023.06,12032,
2023.07,12636,
2023.08,12313,
2023.09,12377,
2023.10,12723,
2023.11,12472,
2023.12,12545,
2024.01,13119,
