dt,occ,smk
2012-01-01,9351,78.10239
2012-02-01,9631,81.53071
2012-03-01,9521,127.65163
2012-04-01,9534,159.03956
2012-05-01,9325,157.39345
2012-06-01,9380,146.05407
2012-07-01,9450,154.99697
2012-08-01,9799,145.71621
2012-09-01,9980,84.50256
2012-10-01,9651,82.14741
2012-11-01,9568,76.13071
2012-12-01,9755,70.6703
2013-01-01,9780,33.4432
2013-02-01,9703,49.14487
2013-03-01,9767,109.66394
2013-04-01,9957,166.41916
2013-05-01,9655,157.10436
2013-06-01,10073,150.69451
2013-07-01,10005,162.55975
2013-08-01,9733,114.19209
2013-09-01,9857,75.84124
2013-10-01,9846,82.28459
2013-11-01,10024,81.30518
2013-12-01,9563,69.33343
2014-01-01,9762,38.1741
2014-02-01,10027,52.40685
2014-03-01,9875,94.97489
2014-04-01,9837,131.07403
2014-05-01,10561,157.32455
2014-06-01,10538,146.44285
2014-07-01,10704,159.75565
2014-08-01,10582,153.66449
2014-09-01,11000,87.49891
2014-10-01,10419,77.57145
2014-11-01,10555,73.75442
2014-12-01,10841,60.91325
2015-01-01,10272,34.96612
2015-02-01,10474,30.00061
2015-03-01,10490,86.08927
2015-04-01,10770,125.11802
2015-05-01,10936,139.81268
2015-06-01,10826,137.72623
2015-07-01,10695,163.01784
2015-08-01,10528,122.10862
2015-09-01,10697,81.40023
2015-10-01,9537,85.41759
2015-11-01,9694,62.93537
2015-12-01,9680,50.21694
2016-01-01,9681,42.47658
2016-02-01,9790,54.82699
2016-03-01,9716,101.07323
2016-04-01,9723,112.73774
2016-05-01,9868,103.72604
2016-06-01,9623,109.51172
2016-07-01,9702,95.88328
2016-08-01,9733,71.68904
2016-09-01,9479,42.90797
2016-10-01,9747,46.06923
2016-11-01,9823,54.69307
2016-12-01,9797,39.94756
2017-01-01,9951,44.37805
2017-02-01,9946,59.03294
2017-03-01,10106,96.19997
2017-04-01,9642,118.56956
2017-05-01,9916,145.82509
2017-06-01,10109,142.36735
2017-07-01,9582,123.75187
2017-08-01,10291,116.85451
2017-09-01,10481,60.63702
2017-10-01,9813,49.79015
2017-11-01,10369,49.4337
2017-12-01,10508,47.21774
2018-01-01,9894,49.75652
2018-02-01,10474,57.45377
2018-03-01,10196,91.56662
2018-04-01,9882,111.94299
2018-05-01,10165,114.8995
2018-06-01,10004,134.279
2018-07-01,10203,129.2912
2018-08-01,10255,122.10918
2018-09-01,10388,61.24339
2018-10-01,10458,51.88708
2018-11-01,10549,52.62859
2018-12-01,10535,35.24816
2019-01-01,10533,47.24323
2019-02-01,10654,48.45947
2019-03-01,10721,100.43091
2019-04-01,10692,117.26001
2019-05-01,10675,128.17281
2019-06-01,10676,124.75894
2019-07-01,10761,132.32727
2019-08-01,10810,115.62387
2019-09-01,10694,52.39591
2019-10-01,10707,52.60003
2019-11-01,10888,53.09448
2019-12-01,10652,37.1404
2020-01-01,10779,50.17525
2020-02-01,10846,62.45797
2020-03-01,10787,86.11292
2020-04-01,10059,95.43378
2020-05-01,10339,129.4982
2020-06-01,10142,134.95698
2020-07-01,9879,154.44985
2020-08-01,10090,137.56059
2020-09-01,10100,84.4373
2020-10-01,10653,62.41478
2020-11-01,10612,59.13902
2020-12-01,10742,55.1123
2021-01-01,10656,51.43042
2021-02-01,10663,67.30613
2021-03-01,11390,120.16611
2021-04-01,11082,130.27944
2021-05-01,11017,149.22555
2021-06-01,11231,142.57524
2021-07-01,11391,125.30281
2021-08-01,10708,102.46401
2021-09-01,11111,53.03405
2021-10-01,11607,54.25637
2021-11-01,11251,56.5527
2021-12-01,11453,52.76874
2022-01-01,11436,52.20287
2022-02-01,11011,65.94321
2022-03-01,11579,144.4401
2022-04-01,11883,143.3518
2022-05-01,11374,156.57371
2022-06-01,11777,148.85164
2022-07-01,11766,133.70086
2022-08-01,11653,115.99128
2022-09-01,12056,70.33943
2022-10-01,12180,60.18614
2022-11-01,11881,61.02336
2022-12-01,11741,47.39558
2023-01-01,12153,54.18981
2023-02-01,11770,74.93641
2023-03-01,12122,141.64368
2023-04-01,11961,137.72789
2023-05-01,12073,164.5933
2023-06-01,12032,157.78131
2023-07-01,12636,138.44726
2023-08-01,12313,130.34786
2023-09-01,12377,66.30011
2023-10-01,12723,63.70154
2023-11-01,12472,67.36448
2023-12-01,12545,56.44224
2024-01-01,13119,58.98893

