,co_owned,southj,centralj,pa1,pa2,wage_st,hrsopen,wage_st2,hrsopen2,emptot,emptot2,nj,pa,bk,kfc,roys,wendys,pmeal,pmeal2,closed
0,0,0,0,1,0,,16.5,4.3,16.5,40.5,24.0,0.0,1.0,1.0,0.0,0.0,0.0,2.58,,0.0
1,0,0,0,1,0,,13.0,4.45,13.0,13.75,11.5,0.0,1.0,0.0,1.0,0.0,0.0,4.2599998,4.25,0.0
2,1,0,0,1,0,,10.0,5.0,11.0,8.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,4.02,4.02,0.0
3,1,0,0,1,0,5.0,12.0,5.25,12.0,34.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,3.48,2.58,0.0
4,1,0,0,1,0,5.5,12.0,4.75,12.0,24.0,35.5,0.0,1.0,0.0,0.0,0.0,1.0,3.29,2.8,0.0
5,1,0,0,1,0,5.0,12.0,,12.0,20.5,,0.0,1.0,0.0,0.0,0.0,1.0,2.59,,0.0
6,0,0,0,0,1,5.0,18.0,4.75,18.0,70.5,29.0,0.0,1.0,1.0,0.0,0.0,0.0,2.86,2.84,0.0
7,0,0,0,0,1,5.0,24.0,5.0,24.0,23.5,36.5,0.0,1.0,1.0,0.0,0.0,0.0,2.85,2.8899999,0.0
8,1,0,0,0,1,5.25,10.0,5.0,11.0,11.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,3.78,4.1,0.0
9,1,0,0,1,0,5.0,10.0,5.0,10.5,9.0,8.5,0.0,1.0,0.0,1.0,0.0,0.0,3.99,3.9499998,0.0
10,1,0,0,0,1,5.0,12.5,4.75,12.0,15.5,17.5,0.0,1.0,0.0,0.0,1.0,0.0,3.17,2.9099998,0.0
11,0,0,0,0,1,5.0,18.0,5.0,18.0,58.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,2.84,2.67,0.0
12,0,0,0,0,1,5.0,18.0,4.5,18.0,26.5,30.5,0.0,1.0,1.0,0.0,0.0,0.0,2.6,2.6,0.0
13,0,0,0,0,1,5.5,18.0,4.75,18.0,28.5,26.0,0.0,1.0,1.0,0.0,0.0,0.0,2.75,2.81,0.0
14,0,0,0,0,1,5.0,12.5,4.5,13.0,13.5,18.0,0.0,1.0,1.0,0.0,0.0,0.0,3.12,2.97,0.0
15,1,0,0,0,1,5.25,10.0,5.0,11.0,16.75,20.0,0.0,1.0,0.0,1.0,0.0,0.0,4.22,4.0,0.0
16,1,0,0,0,1,5.0,10.0,4.75,11.0,9.5,13.5,0.0,1.0,0.0,1.0,0.0,0.0,3.99,4.02,0.0
17,1,0,0,0,1,5.0,11.5,4.75,11.0,15.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,2.97,3.0,0.0
18,0,0,0,0,1,5.0,16.0,4.75,15.0,29.5,15.5,0.0,1.0,0.0,0.0,1.0,0.0,2.85,2.96,0.0
