rest,wagelaw,after,branch,pmeal,wage_st,emptot,co_owned
0,0,0,bk,2.58,,40.5,0
1,0,0,kfc,4.2599998,,13.75,0
2,0,0,kfc,4.02,,8.5,1
3,0,0,wendys,3.48,5.0,34.0,1
4,0,0,wendys,3.29,5.5,24.0,1
5,0,0,wendys,2.59,5.0,20.5,1
6,0,0,bk,2.86,5.0,70.5,0
7,0,0,bk,2.85,5.0,23.5,0
8,0,0,kfc,3.78,5.25,11.0,1
9,0,0,kfc,3.99,5.0,9.0,1
10,0,0,roys,3.17,5.0,15.5,1
11,0,0,bk,2.84,5.0,58.0,0
12,0,0,bk,2.6,5.0,26.5,0
13,0,0,bk,2.75,5.5,28.5,0
14,0,0,bk,3.12,5.0,13.5,0
15,0,0,kfc,4.22,5.25,16.75,1
16,0,0,kfc,3.99,5.0,9.5,1
17,0,0,roys,2.97,5.0,15.0,1
18,0,0,roys,2.85,5.0,29.5,0
19,0,0,roys,3.0,5.0,18.5,0
20,0,0,roys,3.11,5.0,20.25,1
21,0,0,roys,3.96,5.0,36.0,1
22,0,0,roys,3.0,5.0,21.0,0
23,0,0,roys,2.6799998,5.0,20.5,1
24,0,0,wendys,3.34,5.0,19.0,1
25,0,0,roys,3.1599998,5.0,14.0,1
26,0,0,roys,3.1499999,5.0,19.0,1
27,0,0,bk,2.6599998,4.25,32.5,0
28,0,0,bk,2.28,4.25,19.0,0
29,0,0,bk,2.6,4.25,27.0,0
30,0,0,bk,2.65,4.25,19.5,0
31,0,0,bk,2.67,4.5,24.0,0
32,0,0,bk,2.67,4.25,18.0,0
33,0,0,bk,2.77,4.5,,0
34,0,0,bk,2.48,4.25,19.0,0
35,0,0,kfc,5.4,4.5,14.0,0
36,0,0,kfc,4.25,4.25,10.5,0
37,0,0,wendys,2.56,4.67,38.0,1
38,0,0,wendys,2.65,4.75,23.5,1
39,0,0,wendys,2.6100001,4.25,10.5,0
40,0,0,wendys,2.54,4.25,25.0,0
41,0,0,kfc,4.02,4.75,11.0,1
42,0,0,bk,2.5,4.25,36.5,0
43,0,0,bk,2.47,4.5,52.5,0
44,0,0,bk,2.48,4.25,29.0,0
45,0,0,bk,,4.25,45.0,0
46,0,0,bk,2.49,4.25,22.75,0
47,0,0,kfc,4.28,4.25,7.5,0
48,0,0,wendys,3.69,4.25,15.5,0
49,0,0,wendys,2.5,4.25,38.0,0
50,0,0,wendys,3.48,4.25,17.5,0
51,0,0,wendys,2.53,4.25,25.0,0
52,0,0,bk,2.81,4.5,,0
53,0,0,bk,2.72,4.75,21.0,0
54,0,0,bk,,4.87,15.5,0
55,0,0,bk,2.63,4.75,15.5,0
56,0,0,kfc,4.2,4.5,8.5,1
57,0,0,roys,2.8899999,4.25,18.0,1
58,0,0,wendys,2.68,4.75,20.75,0
59,0,0,bk,2.72,4.25,39.0,0
60,0,0,bk,2.93,4.25,41.5,0
61,0,0,bk,2.72,4.75,22.5,0
62,0,0,bk,2.81,4.5,32.0,0
63,0,0,bk,2.65,4.25,24.0,0
64,0,0,bk,2.74,4.25,26.0,0
65,0,0,bk,2.74,4.5,48.5,0
66,0,0,kfc,4.02,4.5,8.5,1
67,0,0,roys,2.9099998,4.5,18.5,0
68,0,0,roys,3.1,4.5,13.0,1
69,0,0,wendys,2.59,4.5,22.5,1
70,0,0,wendys,2.6,4.75,28.0,1
71,0,0,bk,2.62,4.25,24.5,0
72,0,0,bk,2.72,4.75,18.5,0
73,0,0,roys,3.01,4.25,23.5,1
74,0,0,roys,2.97,4.75,15.0,1
75,0,0,roys,2.78,4.5,18.0,0
76,0,0,roys,3.01,4.75,20.25,1
77,0,0,bk,,4.25,15.5,0
78,0,0,bk,2.81,4.35,21.0,0
79,1,0,bk,3.01,,15.0,0
80,1,0,bk,3.02,,15.0,0
81,1,0,roys,,,24.0,0
82,1,0,roys,3.25,,19.25,1
83,1,0,bk,2.84,,21.5,0
84,1,0,kfc,4.04,,9.5,0
85,1,0,wendys,3.07,,44.0,0
86,1,0,bk,2.99,,,0
87,1,0,bk,3.2599998,,21.0,0
88,1,0,wendys,2.98,,28.0,0
89,1,0,wendys,2.65,,10.0,0
90,1,0,bk,2.96,,20.5,0
91,1,0,roys,,,25.5,1
92,1,0,wendys,2.88,,19.0,0
93,1,0,bk,2.73,,16.5,0
94,1,0,bk,2.9,,17.0,1
95,1,0,bk,3.15,,27.5,1
96,1,0,roys,4.72,5.0,5.0,1
97,1,0,kfc,4.4,5.12,16.0,0
98,1,0,bk,2.95,5.56,41.5,0
99,1,0,kfc,4.25,5.0,13.0,1
100,1,0,kfc,4.6499996,5.0,10.0,0
101,1,0,kfc,4.6499996,5.25,15.0,0
102,1,0,roys,3.04,5.0,26.0,0
103,1,0,wendys,4.5,5.5,18.0,0
104,1,0,roys,3.42,5.0,35.0,0
105,1,0,roys,3.1599998,5.0,21.0,1
106,1,0,wendys,3.1,5.0,34.5,0
107,1,0,wendys,3.1499999,5.0,18.25,0
108,1,0,wendys,4.17,5.0,24.5,0
109,1,0,bk,3.1599998,5.5,20.0,0
110,1,0,bk,3.08,5.0,16.0,1
111,1,0,kfc,4.42,5.0,17.5,0
112,1,0,wendys,2.71,5.0,20.5,0
113,1,0,wendys,3.1,5.0,20.0,0
114,1,0,kfc,4.25,5.0,12.25,1
115,1,0,roys,2.8400002,5.25,33.0,0
116,1,0,roys,3.1799998,5.5,31.5,0
117,1,0,wendys,2.96,5.5,,0
118,1,0,wendys,2.96,5.37,18.0,0
119,1,0,wendys,2.82,5.05,28.0,0
120,1,0,bk,2.96,5.0,16.5,0
121,1,0,bk,2.96,5.12,14.75,0
122,1,0,bk,2.96,5.25,23.5,0
123,1,0,bk,2.94,5.0,10.0,0
124,1,0,bk,3.1399999,5.12,46.5,0
125,1,0,kfc,4.1,5.0,15.5,0
126,1,0,roys,3.1999998,5.0,24.5,1
127,1,0,roys,3.33,5.0,24.0,1
128,1,0,roys,3.1999998,5.0,23.0,1
129,1,0,wendys,3.0099998,5.0,28.0,0
130,1,0,bk,3.08,5.0,32.5,1
131,1,0,bk,3.2,5.0,23.0,1
132,1,0,roys,3.27,5.62,17.0,0
133,1,0,roys,3.15,5.0,30.0,1
134,1,0,wendys,2.86,5.0,21.5,1
135,1,0,bk,2.77,5.0,32.0,0
136,1,0,bk,,5.0,8.0,0
137,1,0,roys,3.2599998,5.1,35.5,1
138,1,0,roys,3.1999998,5.0,31.5,0
139,1,0,roys,3.1799998,5.25,33.0,1
140,1,0,roys,3.24,5.5,22.0,0
141,1,0,bk,2.72,5.0,23.0,0
142,1,0,bk,2.72,5.0,23.0,1
143,1,0,kfc,4.15,5.0,8.5,1
144,1,0,kfc,4.0299997,5.05,12.5,1
145,1,0,kfc,3.99,5.5,9.5,1
146,1,0,kfc,3.88,5.0,13.0,1
147,1,0,bk,3.02,5.3,17.0,1
148,1,0,kfc,4.25,5.0,9.0,1
149,1,0,kfc,4.25,5.0,19.0,1
150,1,0,kfc,4.37,5.0,11.5,0
151,1,0,kfc,4.42,5.0,13.0,0
152,1,0,roys,,5.25,48.0,0
153,1,0,roys,,5.15,45.5,1
154,1,0,wendys,2.82,5.42,15.0,0
155,1,0,bk,2.73,5.0,18.0,0
156,1,0,roys,2.98,5.0,21.0,1
157,1,0,wendys,2.76,5.06,20.5,0
158,1,0,wendys,2.81,5.05,20.5,0
159,1,0,wendys,2.76,5.0,17.5,0
160,1,0,bk,3.03,5.0,27.5,0
161,1,0,bk,2.99,5.0,24.0,1
162,1,0,bk,,5.25,34.0,0
163,1,0,bk,3.16,5.0,18.0,1
164,1,0,bk,3.54,5.0,24.0,0
165,1,0,roys,3.27,5.05,,1
166,1,0,wendys,,5.0,33.5,1
167,1,0,wendys,3.7199998,5.75,12.0,1
168,1,0,bk,3.01,5.0,35.0,0
